Track Name,Artist,Album,Genre,Popularity
Achyutam Kesavam,"Armonian, Harini Ivaturi",Achyutam Kesavam,modern bhajan,36
Sogasu Choodatharama,Shreya Ghoshal,Sainikudu,"filmi, modern bollywood",38
a thousand years,Christina Perri,a thousand years,pop,81
Let's Break Up,"Amit Trivedi, Vishal Dadlani, Kausar Munir",Dear Zindagi (Original Motion Picture Soundtrack),"filmi, modern bollywood",34
My Love Is Gone,"Devi Sri Prasad, Ranjith Govind",Aarya - 2 (Original Motion Picture Soundtrack),tollywood,55
Zindagi,"Haniya Nafisa, Gopi Sunder",Most Eligible Bachelor,Unknown,32
"Water Packet (From ""Raayan"")","A.R. Rahman, Santhosh Narayanan, Shweta Mohan, Gana Kadhar","Water Packet (From ""Raayan"")",filmi,69
Nee Selvadigi,Shweta Mohan,Janatha Garage,filmi,51
Inthalo Ennenni Vinthalo Female,Chinmayi,Karthikeya,"filmi, marathi pop",38
Mental Madhilo,"A.R. Rahman, K. Krishna Chaitanya, Jonita Gandhi",OK Bangaram (Original Motion Picture Soundtrack),filmi,42
Yedetthu Mallele,"Kala Bhairava, Nikhita Gandhi",Majili,Unknown,46
Just Go to Hell Dil,"Amit Trivedi, Sunidhi Chauhan, Kausar Munir",Dear Zindagi (Original Motion Picture Soundtrack),"filmi, modern bollywood",42
"Ayyayyo (From ""Mem Famous"")",Rahul Sipligunj,"Ayyayyo (From ""Mem Famous"")",tollywood,45
"Dum Masala (From ""Guntur Kaaram"")(Telugu)","Thaman S, Sanjith Hegde, Saraswati Putra Ramajogayya Sastry","Dum Masala (From ""Guntur Kaaram"")(Telugu)","new beat, tamil pop",55
Chandelier,Sia,1000 Forms Of Fear,pop,79
Kevvu Keka,"Mamta Sharma, Kushi Murali",Gabbar Singh,"filmi, modern bollywood",54
Faded,Alan Walker,Different World,electro house,79
Fear Song [TELUGU],"Anirudh Ravichander, Ramajogayya Sastry",Devara Part 1 [TELUGU],"desi hip hop, filmi, tamil hip hop",55
Shape of You,Ed Sheeran,÷ (Deluxe),"pop, singer-songwriter pop, uk pop",86
Sai Andri Nanu Sai Antira,Shreya Ghoshal,Krishnam Vande Jagadgurum,"filmi, modern bollywood",54
Thattukolede,"Vijai Bulganin, Sindhuja Srinivasan",Thattukolede,tollywood,61
Oh Kshnam Navvune Visuru,"Meghana, Vijai Bulganin",Oh Kshnam Navvune Visuru,Unknown,51
"Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")","G. V. Prakash, Arivu, Dhanush, Sublahshini","Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")","kollywood, tamil pop",72
Malupu - Female Version,"Manish Kumar, Vyshu Maya",Malupu (Female Version),Unknown,39
